Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code,Set Destination Trip
UberX,completed,2022-08-07T20:18:52.000Z,2022-08-07T20:25:25.000Z,2022-08-07T20:28:25.000Z,0.998969749,180,1.87,8.03,0,USD,TRUE
UberX,completed,2022-08-07T20:10:32.000Z,2022-08-07T20:14:27.000Z,2022-08-07T20:20:04.000Z,0.577221174,337,1.87,6.91,0,USD,TRUE
UberX,completed,2022-08-07T19:57:35.000Z,2022-08-07T20:02:16.000Z,2022-08-07T20:11:32.000Z,2.043144395,556,1.87,9.21,0,USD,TRUE
UberX,completed,2022-08-07T19:22:19.000Z,2022-08-07T19:31:13.000Z,2022-08-07T19:48:35.000Z,10.43248586704434,1042,1.87,20.77,0,USD,FALSE
UberX,completed,2022-08-07T18:53:11.000Z,2022-08-07T19:01:52.000Z,2022-08-07T19:24:09.000Z,9.390910045,1337,1.87,21.12,0,USD,FALSE
UberX,completed,2022-08-07T18:36:57.000Z,2022-08-07T18:41:09.000Z,2022-08-07T18:55:35.000Z,6.428496824,866,1.87,18.28,0,USD,FALSE
UberX,completed,2022-08-07T17:52:14.000Z,2022-08-07T18:17:42.000Z,2022-08-07T18:39:22.000Z,19.47060125332797,1300,1.87,38.71,0,USD,FALSE
UberX,completed,2022-08-07T17:32:17.000Z,2022-08-07T17:43:15.000Z,2022-08-07T17:52:38.000Z,4.038828192,563,1.87,10.74,0,USD,FALSE
UberX,completed,2022-08-07T16:18:41.000Z,2022-08-07T16:26:12.000Z,2022-08-07T16:52:15.000Z,20.99463509684892,1563,1.87,51.55,0,USD,FALSE
UberX,completed,2022-08-07T15:45:34.000Z,2022-08-07T15:57:31.000Z,2022-08-07T16:12:01.000Z,8.188234378,870,1.87,19.97,0,USD,FALSE
UberX,completed,2022-08-06T23:17:48.000Z,2022-08-06T23:26:12.000Z,2022-08-06T23:32:06.000Z,1.863124477,354,1.87,13.82,0,USD,TRUE
UberX,completed,2022-08-06T22:31:35.000Z,2022-08-06T22:35:31.000Z,2022-08-06T23:15:51.000Z,11.31305183339265,2420,1.87,39.07,0,USD,FALSE
UberX,completed,2022-08-06T22:18:08.000Z,2022-08-06T22:21:04.000Z,2022-08-06T22:30:35.000Z,2.171852624,571,1.87,13.18,0,USD,FALSE
UberX,completed,2022-08-06T21:38:39.000Z,2022-08-06T21:56:17.000Z,2022-08-06T22:16:41.000Z,3.418459496,1224,1.87,36.98,0,USD,FALSE
UberX,completed,2022-08-06T21:00:26.000Z,2022-08-06T21:10:00.000Z,2022-08-06T21:30:52.000Z,4.940455255,1252,1.87,19.53,0,USD,FALSE
UberX,completed,2022-08-06T20:39:20.000Z,2022-08-06T20:48:01.000Z,2022-08-06T21:05:31.000Z,4.229746342,1050,1.87,14.02,0,USD,FALSE
UberX,completed,2022-08-06T20:26:16.000Z,2022-08-06T20:29:28.000Z,2022-08-06T20:44:42.000Z,3.622476809,914,1.87,12.7,0,USD,FALSE
UberX,completed,2022-08-06T20:09:49.000Z,2022-08-06T20:17:10.000Z,2022-08-06T20:27:03.000Z,1.949640051,593,1.87,11.31,0,USD,FALSE
UberX,completed,2022-08-06T19:50:41.000Z,2022-08-06T19:56:26.000Z,2022-08-06T20:13:08.000Z,6.170737613,1002,1.87,23.4,0,USD,FALSE
UberX,completed,2022-08-06T19:33:50.000Z,2022-08-06T19:37:25.000Z,2022-08-06T19:54:20.000Z,5.628865491,1015,1.87,17.38,0,USD,FALSE
UberX,completed,2022-08-06T19:19:58.000Z,2022-08-06T19:25:55.000Z,2022-08-06T19:35:24.000Z,1.821498494,569,1.87,13.09,0,USD,TRUE
UberX,completed,2022-08-06T19:04:52.000Z,2022-08-06T19:09:07.000Z,2022-08-06T19:20:33.000Z,1.516827443,686,1.87,13.8,0,USD,TRUE
UberX,completed,2022-08-06T18:49:13.000Z,2022-08-06T18:53:05.000Z,2022-08-06T19:04:16.000Z,1.9849808,671,1.87,13.21,0,USD,TRUE
UberX,completed,2022-08-06T17:51:11.000Z,2022-08-06T18:07:57.000Z,2022-08-06T18:50:49.000Z,19.97559318,2572,1.87,41.41,0,USD,TRUE
UberX,completed,2022-08-06T16:31:03.000Z,2022-08-06T16:47:22.000Z,2022-08-06T17:13:03.000Z,21.43358317112513,1541,1.87,45.94,0,USD,FALSE
UberX,completed,2022-08-06T16:03:30.000Z,2022-08-06T16:25:57.000Z,2022-08-06T16:38:20.000Z,4.041585022,743,1.87,13.57,0,USD,FALSE
UberX,completed,2022-08-06T15:40:42.000Z,2022-08-06T16:04:03.000Z,2022-08-06T16:11:59.000Z,2.599163537,476,1.87,8.94,0,USD,FALSE
UberX,completed,2022-08-06T15:23:29.000Z,2022-08-06T15:35:24.000Z,2022-08-06T15:54:24.000Z,2.384689038,1140,1.87,11.19,0,USD,FALSE
UberX,completed,2022-08-06T15:07:17.000Z,2022-08-06T15:21:44.000Z,2022-08-06T15:28:29.000Z,1.986012878,405,1.87,8.97,0,USD,FALSE
UberX,completed,2022-08-06T14:52:53.000Z,2022-08-06T15:06:29.000Z,2022-08-06T15:09:14.000Z,0.808072107,165,1.87,5.53,0,USD,FALSE
UberX,completed,2022-08-06T14:24:15.000Z,2022-08-06T14:29:05.000Z,2022-08-06T14:58:40.000Z,22.22617366956848,1775,1.87,50.65,0,USD,FALSE
UberX,completed,2022-08-05T23:00:02.000Z,2022-08-05T23:17:34.000Z,2022-08-05T23:23:38.000Z,2.445918671,364,1.87,11.32,0,USD,TRUE
UberX,completed,2022-08-05T22:50:28.000Z,2022-08-05T23:02:12.000Z,2022-08-05T23:06:59.000Z,1.306839279,287,1.87,8.79,0,USD,TRUE
UberX,completed,2022-08-05T22:22:07.000Z,2022-08-05T22:29:08.000Z,2022-08-05T22:54:01.000Z,5.882336033,1493,1.87,22.23,0,USD,TRUE
UberX,completed,2022-08-05T22:20:39.000Z,2022-08-05T22:22:21.000Z,2022-08-05T22:28:52.000Z,0.908718443,391,1.87,14.24,0,USD,TRUE
UberX,completed,2022-08-05T22:01:05.000Z,2022-08-05T22:10:43.000Z,2022-08-05T22:19:59.000Z,2.059908848,556,1.87,10.74,0,USD,FALSE
UberX,completed,2022-08-05T21:39:19.000Z,2022-08-05T21:47:20.000Z,2022-08-05T22:05:31.000Z,9.140902511,1091,1.87,19.6,0,USD,FALSE
UberX,completed,2022-08-05T21:05:33.000Z,2022-08-05T21:12:37.000Z,2022-08-05T21:42:38.000Z,17.44704609684926,1801,1.87,33.99,0,USD,FALSE
UberX,completed,2022-08-05T19:00:06.000Z,2022-08-05T19:04:45.000Z,2022-08-05T19:54:08.000Z,4.280663949,2963,1.87,39.54,0,USD,FALSE
UberX,completed,2022-08-05T18:14:02.000Z,2022-08-05T18:35:55.000Z,2022-08-05T18:58:31.000Z,7.973284463,1356,1.87,26.35,0,USD,FALSE
UberX,completed,2022-08-05T17:58:57.000Z,2022-08-05T18:04:40.000Z,2022-08-05T18:27:28.000Z,2.938263141,1368,1.87,22.41,0,USD,FALSE
UberX,completed,2022-08-05T15:09:04.000Z,2022-08-05T15:16:38.000Z,2022-08-05T15:33:02.000Z,3.160655039,984,1.87,21.39,0,USD,FALSE
UberX,completed,2022-08-04T19:24:02.000Z,2022-08-04T19:28:47.000Z,2022-08-04T19:34:03.000Z,2.220025038,316,1.87,7,0,USD,FALSE
UberX,completed,2022-08-04T18:55:57.000Z,2022-08-04T19:05:44.000Z,2022-08-04T19:24:41.000Z,12.50146437738051,1137,1.87,31.03,0,USD,FALSE
UberX,completed,2022-08-04T17:52:58.000Z,2022-08-04T17:56:45.000Z,2022-08-04T18:45:34.000Z,19.06815406505013,2929,1.87,54.91,0,USD,FALSE
UberX,completed,2022-08-04T17:34:18.000Z,2022-08-04T17:39:19.000Z,2022-08-04T17:50:19.000Z,2.574750386,660,1.87,21.28,0,USD,FALSE
UberX,completed,2022-08-04T15:56:26.000Z,2022-08-04T15:58:48.000Z,2022-08-04T17:11:01.000Z,17.92789957101179,4333,1.87,50.73,0,USD,FALSE
UberX,completed,2022-08-02T19:36:36.000Z,2022-08-02T19:41:36.000Z,2022-08-02T20:07:53.000Z,19.50499855109774,1577,1.87,37.3,0,USD,FALSE
UberX,completed,2022-08-02T18:46:38.000Z,2022-08-02T18:55:00.000Z,2022-08-02T19:36:15.000Z,17.95583269969533,2475,1.87,46.98,0,USD,FALSE
UberX,completed,2022-08-02T17:58:50.000Z,2022-08-02T18:03:29.000Z,2022-08-02T18:22:13.000Z,7.639130258,1124,1.87,31.36,0,USD,FALSE
UberX,completed,2022-08-02T16:00:30.000Z,2022-08-02T16:08:29.000Z,2022-08-02T16:57:59.000Z,18.84744220471116,2970,1.87,43.86,0,USD,FALSE
UberX,completed,2022-08-02T14:59:57.000Z,2022-08-02T15:07:09.000Z,2022-08-02T16:00:46.000Z,18.51793786,3217,1.87,52.95,0,USD,FALSE
